Timestamp,Datetime,Hop_count,Bottleneck,Link_bottleneck,Vazao
1705433055,2024-01-16 16:24:15,6,100,df-to,937271204.0
1705470404,2024-01-17 02:46:44,6,100,df-to,914726920.0
1705486018,2024-01-17 07:06:58,6,100,df-to,925054163.0
1705523779,2024-01-17 17:36:19,6,100,df-to,915058929.0
1705690426,2024-01-19 15:53:46,6,100,df-to,924583506.0
1705700579,2024-01-19 18:42:59,6,100,df-to,926450392.0
1705835912,2024-01-21 08:18:32,6,100,df-to,914674948.0
1705874599,2024-01-21 19:03:19,6,100,df-to,921537404.0
1705991555,2024-01-23 03:32:35,6,100,df-to,908154935.0
1706086850,2024-01-24 06:00:50,6,100,df-to,915566102.0
1706132182,2024-01-24 18:36:22,6,100,df-to,894858293.0
1706164346,2024-01-25 03:32:26,6,100,df-to,903195092.0
1706184314,2024-01-25 09:05:14,6,100,df-to,932819179.0
1706187698,2024-01-25 10:01:38,6,100,df-to,897318463.0
1706213729,2024-01-25 17:15:29,6,100,df-to,901253730.0
1706225418,2024-01-25 20:30:18,6,100,df-to,896060620.0
1706249152,2024-01-26 03:05:52,6,100,df-to,909724904.0
1706265175,2024-01-26 07:32:55,6,100,df-to,904137684.0
1706282098,2024-01-26 12:14:58,6,100,df-to,905709965.0
1706582541,2024-01-29 23:42:21,6,100,df-to,904290334.0
1706606002,2024-01-30 06:13:22,6,100,df-to,907964409.0
1706711222,2024-01-31 11:27:02,6,100,df-to,920646183.0
1706747806,2024-01-31 21:36:46,6,100,df-to,922330170.0
1706789164,2024-02-01 09:06:04,6,100,df-to,926213015.0
1706920389,2024-02-02 21:33:09,6,100,df-to,927201056.0
1707037322,2024-02-04 06:02:02,6,100,df-to,887727237.0
1707039813,2024-02-04 06:43:33,6,100,df-to,925909805.0
1707085558,2024-02-04 19:25:58,6,100,df-to,929516051.0
1707098259,2024-02-04 22:57:39,6,100,df-to,924370555.0
1707134516,2024-02-05 09:01:56,6,100,df-to,925839623.0
1707162708,2024-02-05 16:51:48,6,100,df-to,934253748.0
1707166365,2024-02-05 17:52:45,6,100,df-to,915820508.0
1707254579,2024-02-06 18:22:59,6,100,df-to,933820853.0
1707299828,2024-02-07 06:57:08,6,100,df-to,929510892.0
1707501972,2024-02-09 15:06:12,6,100,df-to,925422507.0
1707519620,2024-02-09 20:00:20,6,100,df-to,923172541.0
1707563734,2024-02-10 08:15:34,6,100,df-to,914948802.0
1707594861,2024-02-10 16:54:21,6,100,df-to,924950554.0
1707618214,2024-02-10 23:23:34,6,100,df-to,917517305.0
1707951215,2024-02-14 19:53:35,6,100,df-to,926575711.0
1707953829,2024-02-14 20:37:09,6,100,df-to,916196074.0
1707984474,2024-02-15 05:07:54,6,100,df-to,915254137.0
1708018387,2024-02-15 14:33:07,6,100,df-to,923580953.0
1708028870,2024-02-15 17:27:50,6,100,df-to,909909785.0
1708046611,2024-02-15 22:23:31,6,100,df-to,924900761.0
1708072309,2024-02-16 05:31:49,6,100,df-to,917193416.0
1708076926,2024-02-16 06:48:46,6,100,df-to,924949352.0
1708089664,2024-02-16 10:21:04,6,100,df-to,930094882.0
1708110777,2024-02-16 16:12:57,6,100,df-to,913017239.0
1708196935,2024-02-17 16:08:55,6,100,df-to,924426589.0
1708206953,2024-02-17 18:55:53,6,100,df-to,912470242.0
1708213340,2024-02-17 20:42:20,6,100,df-to,924951386.0
1708300934,2024-02-18 21:02:14,6,100,df-to,915618485.0
1708327867,2024-02-19 04:31:07,6,100,df-to,911636076.0
1708348962,2024-02-19 10:22:42,6,100,df-to,917247405.0
1708383777,2024-02-19 20:02:57,6,100,df-to,911953888.0
1708419758,2024-02-20 06:02:38,6,100,df-to,889291619.0
1708558104,2024-02-21 20:28:24,6,100,df-to,924112985.0
1708569768,2024-02-21 23:42:48,6,100,df-to,931085340.0
1708605300,2024-02-22 09:35:00,6,100,df-to,912734623.0
1708631857,2024-02-22 16:57:37,6,100,df-to,923452904.0
1708649089,2024-02-22 21:44:49,6,100,df-to,918816373.0
1708753844,2024-02-24 02:50:44,6,100,df-to,914253917.0
1708795994,2024-02-24 14:33:14,6,100,df-to,914622108.0
1708848517,2024-02-25 05:08:37,6,100,df-to,925159113.0
1708863661,2024-02-25 09:21:01,6,100,df-to,935592918.0
1708899748,2024-02-25 19:22:28,6,100,df-to,918556204.0
1708993261,2024-02-26 21:21:01,6,100,df-to,932506516.0
1709031100,2024-02-27 07:51:40,6,100,df-to,924268100.0
1709067855,2024-02-27 18:04:15,6,100,df-to,915671601.0
1709088213,2024-02-27 23:43:33,6,100,df-to,925075578.0
1709114216,2024-02-28 06:56:56,6,100,df-to,923062698.0
1709207549,2024-02-29 08:52:29,6,100,df-to,922070791.0
1709211685,2024-02-29 10:01:25,6,100,df-to,924270365.0
1709243565,2024-02-29 18:52:45,6,100,df-to,925788953.0
1709290600,2024-03-01 07:56:40,6,100,df-to,925790851.0
1709516482,2024-03-03 22:41:22,6,100,df-to,925161056.0
1709539975,2024-03-04 05:12:55,6,100,df-to,926000289.0
1709552560,2024-03-04 08:42:40,6,100,df-to,926155354.0
1709577176,2024-03-04 15:32:56,6,100,df-to,928045993.0
1709590965,2024-03-04 19:22:45,6,100,df-to,922746464.0
1709600446,2024-03-04 22:00:46,6,100,df-to,924425110.0
1709688254,2024-03-05 22:24:14,6,100,df-to,906879407.0
1709712187,2024-03-06 05:03:07,6,100,df-to,929228119.0
1709733398,2024-03-06 10:56:38,6,100,df-to,916088468.0
1709746140,2024-03-06 14:29:00,6,100,df-to,695780552.0
1709761713,2024-03-06 18:48:33,6,100,df-to,913729583.0
1709896515,2024-03-08 08:15:15,6,100,df-to,935352193.0
1709945158,2024-03-08 21:45:58,6,100,df-to,923170372.0
1709970173,2024-03-09 04:42:53,6,100,df-to,919658868.0
1709985129,2024-03-09 08:52:09,6,100,df-to,932447606.0
1710008431,2024-03-09 15:20:31,6,100,df-to,913525341.0
1710027519,2024-03-09 20:38:39,6,100,df-to,926734341.0
1710064227,2024-03-10 06:50:27,6,100,df-to,923218970.0
1710109570,2024-03-10 19:26:10,6,100,df-to,933288475.0
1710112901,2024-03-10 20:21:41,6,100,df-to,912997999.0
1710159489,2024-03-11 09:18:09,6,100,df-to,912104454.0
1710255730,2024-03-12 12:02:10,6,100,df-to,916404461.0
1710312694,2024-03-13 03:51:34,6,100,df-to,912525910.0
1710411432,2024-03-14 07:17:12,6,100,df-to,923531418.0
1710424227,2024-03-14 10:50:27,6,100,df-to,905970388.0
1710548202,2024-03-15 21:16:42,6,100,df-to,916937888.0
1710585079,2024-03-16 07:31:19,6,100,df-to,911632794.0
1710695535,2024-03-17 14:12:15,6,100,df-to,916613581.0
1710832933,2024-03-19 04:22:13,6,100,df-to,924063144.0
1710854170,2024-03-19 10:16:10,6,100,df-to,922534904.0
1711496195,2024-03-26 20:36:35,6,100,df-to,925473871.0
1711536937,2024-03-27 07:55:37,6,100,df-to,922320624.0
1711550531,2024-03-27 11:42:11,6,100,df-to,921072290.0
1711562045,2024-03-27 14:54:05,6,100,df-to,917242314.0
1711569986,2024-03-27 17:06:26,6,100,df-to,924323995.0
1711694389,2024-03-29 03:39:49,6,100,df-to,926310787.0
1711714758,2024-03-29 09:19:18,6,100,df-to,923270152.0
1711728652,2024-03-29 13:10:52,6,100,df-to,912626250.0
1711750681,2024-03-29 19:18:01,6,100,df-to,925414733.0
1711762801,2024-03-29 22:40:01,6,100,df-to,927205460.0
1711766796,2024-03-29 23:46:36,6,100,df-to,925370911.0
1711811302,2024-03-30 12:08:22,6,100,df-to,921803253.0
1711850078,2024-03-30 22:54:38,6,100,df-to,919023699.0
1712019519,2024-04-01 21:58:39,6,100,df-to,913004892.0
1712073032,2024-04-02 12:50:32,6,100,df-to,923641171.0
1712099272,2024-04-02 20:07:52,6,100,df-to,922656046.0
1712141390,2024-04-03 07:49:50,6,100,df-to,936487720.0
1712194755,2024-04-03 22:39:15,6,100,df-to,916403682.0
1712273107,2024-04-04 20:25:07,6,100,df-to,923900775.0
1712386673,2024-04-06 03:57:53,6,100,df-to,936225341.0
1712397748,2024-04-06 07:02:28,6,100,df-to,915239510.0
1712426990,2024-04-06 15:09:50,6,100,df-to,924479711.0
1712486057,2024-04-07 07:34:17,6,100,df-to,921392945.0
1712503855,2024-04-07 12:30:55,6,100,df-to,877293435.0
1712521092,2024-04-07 17:18:12,6,100,df-to,920507048.0
1712541821,2024-04-07 23:03:41,6,100,df-to,925739533.0
1712568549,2024-04-08 06:29:09,6,100,df-to,913301374.0
1712967623,2024-04-12 21:20:23,6,100,df-to,914675634.0
1712995903,2024-04-13 05:11:43,6,100,df-to,927205414.0
1713008228,2024-04-13 08:37:08,6,100,df-to,925896311.0
1713052940,2024-04-13 21:02:20,6,100,df-to,914366684.0
1713076464,2024-04-14 03:34:24,6,100,df-to,937219290.0
1713086919,2024-04-14 06:28:39,6,100,df-to,915090536.0
1713093803,2024-04-14 08:23:23,6,100,df-to,914305797.0
1713103216,2024-04-14 11:00:16,6,100,df-to,937116307.0
1713132467,2024-04-14 19:07:47,7,100,df-to,929773361.0
1713136966,2024-04-14 20:22:46,6,100,df-to,925809766.0
1713170485,2024-04-15 05:41:25,6,100,df-to,923329921.0
1713186725,2024-04-15 10:12:05,6,100,df-to,920916430.0
1713198439,2024-04-15 13:27:19,6,100,df-to,853928872.0
1713202162,2024-04-15 14:29:22,6,100,df-to,926835677.0
1713229876,2024-04-15 22:11:16,6,100,df-to,910113905.0
1713261279,2024-04-16 06:54:39,6,100,df-to,921385435.0
1713263269,2024-04-16 07:27:49,6,100,df-to,913462826.0
1713277253,2024-04-16 11:20:53,6,100,df-to,897593353.0
1713311972,2024-04-16 20:59:32,6,100,df-to,911894118.0
1713318399,2024-04-16 22:46:39,6,100,df-to,919379782.0
1713321793,2024-04-16 23:43:13,6,100,df-to,916193509.0
1713377255,2024-04-17 15:07:35,6,100,df-to,920651339.0
1713378166,2024-04-17 15:22:46,6,100,df-to,912854282.0
1713533910,2024-04-19 10:38:30,6,100,df-to,925160640.0
1713544789,2024-04-19 13:39:49,6,100,df-to,929090114.0
1713630674,2024-04-20 13:31:14,6,100,df-to,917862487.0
1713692305,2024-04-21 06:38:25,6,100,df-to,912262442.0
1713699613,2024-04-21 08:40:13,6,100,df-to,924036860.0
1713765022,2024-04-22 02:50:22,6,100,df-to,925889784.0
1713790120,2024-04-22 09:48:40,6,100,df-to,913364727.0
1713816890,2024-04-22 17:14:50,6,100,df-to,923323181.0
1713917367,2024-04-23 21:09:27,6,100,df-to,910166744.0
1713923787,2024-04-23 22:56:27,6,100,df-to,921233906.0
1713959253,2024-04-24 08:47:33,6,100,df-to,911883271.0
1714043106,2024-04-25 08:05:06,6,100,df-to,913941217.0
1714095793,2024-04-25 22:43:13,6,100,df-to,914259859.0
1714145569,2024-04-26 12:32:49,6,100,df-to,828587158.0
1714173028,2024-04-26 20:10:28,6,100,df-to,925610524.0
1714195824,2024-04-27 02:30:24,6,100,df-to,936485001.0
1714224200,2024-04-27 10:23:20,6,100,df-to,926210237.0
1714251434,2024-04-27 17:57:14,6,100,df-to,925602246.0
1714263585,2024-04-27 21:19:45,6,100,df-to,924899374.0
1714269162,2024-04-27 22:52:42,6,100,df-to,923264612.0
1714299415,2024-04-28 07:16:55,6,100,df-to,924789291.0
1714331866,2024-04-28 16:17:46,6,100,df-to,925060685.0
1714384892,2024-04-29 07:01:32,6,100,df-to,926261462.0
1714420230,2024-04-29 16:50:30,6,100,df-to,912053867.0
1714436910,2024-04-29 21:28:30,6,100,df-to,922538087.0
1714574891,2024-05-01 11:48:11,6,100,df-to,837971856.0
1714602810,2024-05-01 19:33:30,6,100,df-to,922179566.0
1714629033,2024-05-02 02:50:33,6,100,df-to,253913237.0
1714654197,2024-05-02 09:49:57,6,100,df-to,921807816.0
1714715787,2024-05-03 02:56:27,6,100,df-to,924219450.0
1714779473,2024-05-03 20:37:53,6,100,df-to,862417544.0
1714833598,2024-05-04 11:39:58,6,100,df-to,922907950.0
1714914826,2024-05-05 10:13:46,6,100,df-to,834249151.0
1715087800,2024-05-07 10:16:40,6,100,df-to,924899096.0
1715115492,2024-05-07 17:58:12,6,100,df-to,459958552.0
1715135857,2024-05-07 23:37:37,6,100,df-to,921903824.0
1715342666,2024-05-10 09:04:26,6,100,df-to,922328971.0
1715370159,2024-05-10 16:42:39,6,100,df-to,926155863.0
1715386637,2024-05-10 21:17:17,6,100,df-to,925212328.0
1715450898,2024-05-11 15:08:18,6,100,df-to,929721870.0
1715476150,2024-05-11 22:09:10,6,100,df-to,914359277.0
1715556408,2024-05-12 20:26:48,6,100,df-to,924901686.0
1715584971,2024-05-13 04:22:51,6,100,df-to,925684281.0
1715597653,2024-05-13 07:54:13,6,100,df-to,924583321.0
1715699845,2024-05-14 12:17:25,6,100,df-to,914672524.0
1715717679,2024-05-14 17:14:39,6,100,df-to,885855222.0
1715786680,2024-05-15 12:24:40,6,100,df-to,912524404.0
1715794268,2024-05-15 14:31:08,6,100,df-to,926301154.0
1715849865,2024-05-16 05:57:45,6,100,df-to,913159897.0
1715890894,2024-05-16 17:21:34,6,100,df-to,916084162.0
1715903244,2024-05-16 20:47:24,6,100,df-to,919759450.0
1715949688,2024-05-17 09:41:28,6,100,df-to,925872232.0
1715968282,2024-05-17 14:51:22,6,100,df-to,919732764.0
1715980751,2024-05-17 18:19:11,6,100,df-to,914045572.0
1715995082,2024-05-17 22:18:02,6,100,df-to,928359407.0
1716023189,2024-05-18 06:06:29,6,100,df-to,920545560.0
1716073466,2024-05-18 20:04:26,6,100,df-to,913787723.0
1716082620,2024-05-18 22:37:00,6,100,df-to,924741116.0
1716105082,2024-05-19 04:51:22,6,100,df-to,914887729.0
1716126528,2024-05-19 10:48:48,6,100,df-to,923850055.0
1716148335,2024-05-19 16:52:15,6,100,df-to,923663016.0
1716163986,2024-05-19 21:13:06,6,100,df-to,923381519.0
1716194631,2024-05-20 05:43:51,6,100,df-to,926263407.0
1716233821,2024-05-20 16:37:01,6,100,df-to,909536595.0
1716281014,2024-05-21 05:43:34,6,100,df-to,923587772.0
1716303653,2024-05-21 12:00:53,6,100,df-to,920440012.0
1716369398,2024-05-22 06:16:38,6,100,df-to,895593284.0
1716381750,2024-05-22 09:42:30,6,100,df-to,925056244.0
1716466225,2024-05-23 09:10:25,6,100,df-to,905657672.0
1716557403,2024-05-24 10:30:03,6,100,df-to,885460705.0
1716648665,2024-05-25 11:51:05,6,100,df-to,923005703.0
1716677579,2024-05-25 19:52:59,6,100,df-to,925799646.0
1716715609,2024-05-26 06:26:49,6,100,df-to,926417359.0
1716733864,2024-05-26 11:31:04,6,100,df-to,904923802.0
1716770862,2024-05-26 21:47:42,6,100,df-to,921176364.0
1716793268,2024-05-27 04:01:08,6,100,df-to,925255723.0
1716910894,2024-05-28 12:41:34,6,100,df-to,923693415.0
1717035211,2024-05-29 23:13:31,6,100,df-to,913461934.0
1717062386,2024-05-30 06:46:26,6,100,df-to,924692571.0
1717164701,2024-05-31 11:11:41,6,100,df-to,926474791.0
