Timestamp,Datetime,Hop_count,Bottleneck,Link_bottleneck,Vazao
1705512046,2024-01-17 14:20:46,5,3.0,ce-sp,842163098.0
1705632345,2024-01-18 23:45:45,5,3.0,ce-sp,546362218.0
1705653375,2024-01-19 05:36:15,5,3.0,ce-sp,854381134.0
1705692492,2024-01-19 16:28:12,4,3.0,ce-sp,796923369.0
1705747172,2024-01-20 07:39:32,4,3.0,ce-sp,641255466.0
1705765028,2024-01-20 12:37:08,5,3.0,ce-sp,771178072.0
1705823012,2024-01-21 04:43:32,5,3.0,ce-sp,745118552.0
1705826747,2024-01-21 05:45:47,5,3.0,ce-sp,804153055.0
1705843826,2024-01-21 10:30:26,5,3.0,ce-sp,585894769.0
1705864044,2024-01-21 16:07:24,5,3.0,ce-sp,828861155.0
1705912656,2024-01-22 05:37:36,5,3.0,ce-sp,825478328.0
1705923918,2024-01-22 08:45:18,5,3.0,ce-sp,515688413.0
1705933259,2024-01-22 11:20:59,7,6.0,ro-ac,736206093.0
1705948495,2024-01-22 15:34:55,5,3.0,ce-sp,689069444.0
1706007609,2024-01-23 08:00:09,5,3.0,ce-sp,373653854.0
1706096452,2024-01-24 08:40:52,5,3.0,ce-sp,529573246.0
1706173568,2024-01-25 06:06:08,5,3.0,ce-sp,660537804.0
1706185494,2024-01-25 09:24:54,5,3.0,ce-sp,442657664.0
1706203107,2024-01-25 14:18:27,7,6.0,ro-ac,315936801.0
1706212708,2024-01-25 16:58:28,5,3.0,ce-sp,258684669.0
1706286429,2024-01-26 13:27:09,5,3.0,ce-sp,438620305.0
1706317023,2024-01-26 21:57:03,4,3.0,ce-sp,355782850.0
1706357050,2024-01-27 09:04:10,5,3.0,ce-sp,505048246.0
1706371232,2024-01-27 13:00:32,4,3.0,ce-sp,254018869.0
1706388853,2024-01-27 17:54:13,5,3.0,ce-sp,373347314.0
1706408938,2024-01-27 23:28:58,5,3.0,ce-sp,234829111.0
1706510951,2024-01-29 03:49:11,5,3.0,ce-sp,703711633.0
1706555833,2024-01-29 16:17:13,5,3.0,ce-sp,442658505.0
1706603352,2024-01-30 05:29:12,5,3.0,ce-sp,602723805.0
1706653450,2024-01-30 19:24:10,5,3.0,ce-sp,565029403.0
1706665707,2024-01-30 22:48:27,4,3.0,ce-sp,854432196.0
1706749439,2024-01-31 22:03:59,5,3.0,ce-sp,788267205.0
1706868605,2024-02-02 07:10:05,5,3.0,ce-sp,662181273.0
1706923771,2024-02-02 22:29:31,5,3.0,ce-sp,821873581.0
1706988361,2024-02-03 16:26:01,5,3.0,ce-sp,819738756.0
1707015287,2024-02-03 23:54:47,5,3.0,ce-sp,689597489.0
